35,NM,2001,86.74791,81730,0,0;35,NM,2002,83.001961,85040,0,0;35,NM,2003,82.365799,86668,0,0;35,NM,2004,83.220856,94954,0,0;35,NM,2005,82.044823,87752,0,0;35,NM,2006,85.184425,89104,0,0;35,NM,2007,83.878868,89655,0,0;35,NM,2008,84.418205,90022,0,0;35,NM,2009,85.104866,91956,0,0;35,NM,2010,84.061661,90184,0,0;35,NM,2011,85.371651,87268,0,0;35,NM,2012,85.638275,86136,0,0;35,NM,2013,85.444611,85547,0,0;35,NM,2014,83.307961,82337,0,0
36,NY,2001,81.899284,634112,0,0;36,NY,2002,83.452103,685491,0,0;36,NY,2003,82.794044,693147,0,0;36,NY,2004,83.071815,700469,0,0;36,NY,2005,83.542564,702312,0,0;36,NY,2006,83.916626,709168,0,0;36,NY,2007,84.137932,713815,0,0;36,NY,2008,84.126366,723809,0,0;36,NY,2009,83.707275,734739,0,0;36,NY,2010,84.339218,727764,0,0;36,NY,2011,84.519188,720712,0,0;36,NY,2012,83.930161,728754,0,0;36,NY,2013,84.27607,732606,0,0;36,NY,2014,85.588257,713967,0,0
37,NC,2001,81.569099,310617,0,0;37,NC,2002,81.114876,328063,0,0;37,NC,2003,81.165504,339408,0,0;37,NC,2004,82.778793,345953,0,0;37,NC,2005,82.384956,352623,0,0;37,NC,2006,82.638695,362629,0,0;37,NC,2007,83.20739,370944,0,0;37,NC,2008,83.633629,378755,0,0;37,NC,2009,81.824089,391001,0,0;37,NC,2010,82.354012,389782,0,0;37,NC,2011,81.948662,388729,0,0;37,NC,2012,83.329033,386343,0,0;37,NC,2013,82.052757,389218,0,0;37,NC,2014,82.841812,375890,0,0
38,ND,2001,84.803024,20293,0,0;38,ND,2002,84.202736,21001,0,0;38,ND,2003,79.857178,21122,0,0;38,ND,2004,83.280205,20924,0,0;38,ND,2005,82.853943,20630,0,0;38,ND,2006,84.408638,20470,0,0;38,ND,2007,83.017281,20286,0,0;38,ND,2008,85.728523,20098,0,0;38,ND,2009,83.314842,19376,0,0;38,ND,2010,83.66787,18740,0,0;38,ND,2011,89.063744,17829,0,0;38,ND,2012,80.222473,16888,0,0;38,ND,2013,80.166084,16925,0,0;38,ND,2014,87.311493,16657,0,0
39,OH,2001,79.87706,381203,0,0;39,OH,2002,81.151932,395957,0,0;39,OH,2003,81.114136,405276,0,0;39,OH,2004,81.506516,407062,0,0;39,OH,2005,81.285995,413148,0,0;39,OH,2006,81.633636,415373,0,0;39,OH,2007,82.358444,420604,0,0;39,OH,2008,81.745689,427263,0,0;39,OH,2009,80.845253,432760,0,0;39,OH,2010,81.332809,431530,0,0;39,OH,2011,81.872398,423330,0,0;39,OH,2012,81.908615,417749,0,0;39,OH,2013,81.59993,413894,0,0;39,OH,2014,82.13501,397730,0,0
40,OK,2001,82.491089,142809,0,0;40,OK,2002,80.770042,147679,0,0;40,OK,2003,80.730019,147286,0,0;40,OK,2004,82.042549,149349,0,0;40,OK,2005,80.343445,150386,0,0;40,OK,2006,80.814903,151107,0,0;40,OK,2007,81.546326,149791,0,0;40,OK,2008,80.008209,149484,0,0;40,OK,2009,80.616074,151377,0,0;40,OK,2010,80.178238,146086,0,0;40,OK,2011,79.970093,143302,0,0;40,OK,2012,81.490623,141067,0,0;40,OK,2013,78.992188,139577,0,0;40,OK,2014,81.54351,135787,0,0
41,OR,2001,81.853714,120135,0,0;41,OR,2002,81.469681,125991,0,0;41,OR,2003,83.038795,129703,0,0;41,OR,2004,83.738319,131844,0,0;41,OR,2005,85.195114,133054,0,0;41,OR,2006,82.947205,135513,0,0;41,OR,2007,83.454384,134886,0,0;41,OR,2008,83.708046,135754,0,0;41,OR,2009,81.365616,137666,0,0;41,OR,2010,82.330208,137404,0,0;41,OR,2011,83.589165,136711,0,0;41,OR,2012,84.261116,134406,0,0;41,OR,2013,83.726791,134536,0,0;41,OR,2014,83.865059,130309,0,0
42,PA,2001,81.062973,387172,0,0;42,PA,2002,81.377266,400340,0,0;42,PA,2003,81.680405,407467,0,0;42,PA,2004,81.720688,409885,0,0;42,PA,2005,81.947807,413961,0,0;42,PA,2006,81.847153,416807,0,0;42,PA,2007,82.472801,422068,0,0;42,PA,2008,82.243484,426015,0,0;42,PA,2009,81.295746,426453,0,0;42,PA,2010,82.315117,418335,0,0;42,PA,2011,82.174911,408328,0,0;42,PA,2012,83.216263,400685,0,0;42,PA,2013,82.084366,399347,0,0;42,PA,2014,82.352829,384883,0,0
44,RI,2001,81.719238,32806,0,0;44,RI,2002,80.537727,33955,0,0;44,RI,2003,80.98983,33962,0,0;44,RI,2004,82.591179,34127,0,0;44,RI,2005,82.965584,34325,0,0;44,RI,2006,82.171593,34656,0,0;44,RI,2007,82.839806,34896,0,0;44,RI,2008,83.595139,35438,0,0;44,RI,2009,81.839966,35948,0,0;44,RI,2010,86.589043,36057,0,0;44,RI,2011,83.633194,35498,0,0;44,RI,2012,84.095863,35316,0,0;44,RI,2013,83.189651,35010,0,0;44,RI,2014,82.991867,34403,0,0
45,SC,2001,81.771225,179326,0,0;45,SC,2002,81.519112,188423,0,0;45,SC,2003,81.634743,194612,0,0;45,SC,2004,82.390968,197834,0,0;45,SC,2005,81.918098,199777,0,0;45,SC,2006,82.287315,204368,0,0;45,SC,2007,81.96006,207683,0,0;45,SC,2008,83.296577,211725,0,0;45,SC,2009,80.93576,219600,0,0;45,SC,2010,81.414101,218932,0,0;45,SC,2011,83.359436,218140,0,0;45,SC,2012,81.743622,216662,0,0;45,SC,2013,83.685089,215274,0,0;45,SC,2014,82.04599,205818,0,0
